pair_idx,imageA_name,imageB_name,annotation_idx,pt1_img,pt1_x,pt1_y,pt2_img,pt2_x,pt2_y,label,temperature
0,rgb_04_03600.png,rgb_12_08400.png,0,0,145,318,1,477,162,-1,0.1739
0,rgb_04_03600.png,rgb_12_08400.png,1,0,125,151,0,405,298,1,0.1739
0,rgb_04_03600.png,rgb_12_08400.png,2,1,114,265,1,488,73,-1,0.1739
1,rgb_10_13320.png,rgb_12_08820.png,0,1,268,133,1,391,305,1,0.1744
1,rgb_10_13320.png,rgb_12_08820.png,1,1,65,86,0,242,51,-1,0.1744
1,rgb_10_13320.png,rgb_12_08820.png,2,0,425,225,1,477,286,1,0.1744
2,rgb_05_05520.png,rgb_10_00120.png,0,0,477,144,0,468,292,-1,0.1028
2,rgb_05_05520.png,rgb_10_00120.png,1,0,74,263,1,225,237,0,0.1028
2,rgb_05_05520.png,rgb_10_00120.png,2,1,548,266,0,297,88,-1,0.1028
3,rgb_01_01020.png,rgb_12_11040.png,0,1,165,234,1,568,210,-1,0.2400
3,rgb_01_01020.png,rgb_12_11040.png,1,1,434,196,0,77,48,-1,0.2400
3,rgb_01_01020.png,rgb_12_11040.png,2,1,80,159,1,128,287,1,0.2400
4,rgb_03_01680.png,rgb_09_04380.png,0,0,214,146,0,251,210,0,0.1612
4,rgb_03_01680.png,rgb_09_04380.png,1,1,340,101,0,94,94,1,0.1612
4,rgb_03_01680.png,rgb_09_04380.png,2,0,91,228,1,322,261,0,0.1612
5,rgb_02_02220.png,rgb_08_11610.png,0,0,411,59,1,551,102,1,0.2249
5,rgb_02_02220.png,rgb_08_11610.png,1,0,111,175,0,174,276,0,0.2249
5,rgb_02_02220.png,rgb_08_11610.png,2,0,397,130,1,397,253,-1,0.2249
6,rgb_08_10350.png,rgb_11_11070.png,0,1,85,205,0,340,155,0,0.0617
6,rgb_08_10350.png,rgb_11_11070.png,1,1,565,204,0,314,69,0,0.0617
6,rgb_08_10350.png,rgb_11_11070.png,2,0,560,303,0,88,143,-1,0.0617
7,rgb_05_09180.png,rgb_06_03780.png,0,1,288,242,0,288,215,0,0.2720
7,rgb_05_09180.png,rgb_06_03780.png,1,1,554,210,0,388,144,1,0.2720
7,rgb_05_09180.png,rgb_06_03780.png,2,0,282,167,0,440,59,-1,0.2720
8,rgb_06_04140.png,rgb_10_05580.png,0,1,325,130,1,354,40,-1,0.4197
8,rgb_06_04140.png,rgb_10_05580.png,1,1,502,188,1,225,59,-1,0.4197
8,rgb_06_04140.png,rgb_10_05580.png,2,0,568,173,1,145,234,0,0.4197
9,rgb_05_03120.png,rgb_06_13140.png,0,0,325,45,1,511,99,1,0.0262
9,rgb_05_03120.png,rgb_06_13140.png,1,0,494,212,0,351,98,0,0.0262
9,rgb_05_03120.png,rgb_06_13140.png,2,0,297,226,1,388,274,0,0.0262
10,rgb_05_07560.png,rgb_11_03210.png,0,1,431,139,1,300,279,0,0.4047
10,rgb_05_07560.png,rgb_11_03210.png,1,0,325,310,0,154,135,0,0.4047
10,rgb_05_07560.png,rgb_11_03210.png,2,0,520,298,0,545,48,-1,0.4047
11,rgb_01_12840.png,rgb_08_08970.png,0,1,574,120,1,482,188,1,0.1896
11,rgb_01_12840.png,rgb_08_08970.png,1,0,285,53,1,125,81,0,0.1896
11,rgb_01_12840.png,rgb_08_08970.png,2,1,302,114,0,77,279,1,0.1896
12,rgb_04_01500.png,rgb_04_02580.png,0,0,522,131,1,385,315,1,0.1039
12,rgb_04_01500.png,rgb_04_02580.png,1,0,505,80,0,105,199,1,0.1039
12,rgb_04_01500.png,rgb_04_02580.png,2,0,77,250,0,400,120,-1,0.1039
13,rgb_03_08580.png,rgb_04_13560.png,0,1,402,233,0,208,72,-1,0.1270
13,rgb_03_08580.png,rgb_04_13560.png,1,1,240,118,0,400,207,1,0.1270
13,rgb_03_08580.png,rgb_04_13560.png,2,1,194,311,0,331,173,0,0.1270
14,rgb_04_12840.png,rgb_10_09180.png,0,0,462,131,1,388,271,0,0.1458
14,rgb_04_12840.png,rgb_10_09180.png,1,1,237,234,0,360,160,0,0.1458
14,rgb_04_12840.png,rgb_10_09180.png,2,0,437,57,1,522,216,1,0.1458
15,rgb_11_08310.png,rgb_11_08850.png,0,1,80,115,0,448,270,1,0.0282
15,rgb_11_08310.png,rgb_11_08850.png,1,1,480,171,0,334,56,-1,0.0282
15,rgb_11_08310.png,rgb_11_08850.png,2,1,328,136,1,231,51,-1,0.0282
16,rgb_04_10860.png,rgb_11_08970.png,0,0,422,78,1,351,54,-1,0.0614
16,rgb_04_10860.png,rgb_11_08970.png,1,0,245,93,0,505,46,-1,0.0614
16,rgb_04_10860.png,rgb_11_08970.png,2,0,568,135,0,368,290,1,0.0614
17,rgb_01_02820.png,rgb_08_13170.png,0,1,168,281,0,274,85,-1,0.2782
