pair_idx,imageA_name,imageB_name,annotation_idx,pt1_img,pt1_x,pt1_y,pt2_img,pt2_x,pt2_y,label,temperature
0,Moon_7_1693385246309815296.png,Moon_8_1693502149240883968.png,0,0,347,900,1,854,484,0,0.1739
0,Moon_7_1693385246309815296.png,Moon_8_1693502149240883968.png,1,0,918,434,0,676,891,-1,0.1739
0,Moon_7_1693385246309815296.png,Moon_8_1693502149240883968.png,2,1,443,763,0,466,237,-1,0.1739
1,Moon_4_1693297656737124352.png,Moon_7_1693385217420148480.png,0,1,224,420,1,411,818,-1,0.1744
1,Moon_4_1693297656737124352.png,Moon_7_1693385217420148480.png,1,1,745,269,0,525,114,-1,0.1744
1,Moon_4_1693297656737124352.png,Moon_7_1693385217420148480.png,2,0,749,667,1,644,836,0,0.1744
2,Moon_3_1693290458230128384.png,Moon_4_1693297685510958336.png,0,0,420,480,0,786,681,0,0.1028
2,Moon_3_1693290458230128384.png,Moon_4_1693297685510958336.png,1,0,114,795,1,429,621,0,0.1028
2,Moon_3_1693290458230128384.png,Moon_4_1693297685510958336.png,2,1,777,745,0,886,288,0,0.1028
3,Moon_1_1693274837608563968.png,Moon_3_1693290375797191424.png,0,1,438,644,1,891,521,-1,0.2400
3,Moon_1_1693274837608563968.png,Moon_3_1693290375797191424.png,1,0,141,580,0,137,173,-1,0.2400
3,Moon_1_1693274837608563968.png,Moon_3_1693290375797191424.png,2,1,292,443,1,557,731,0,0.2400
4,Moon_2_1693278833039671552.png,Moon_6_1693382846315258624.png,0,0,909,443,0,260,265,-1,0.1612
4,Moon_2_1693278833039671552.png,Moon_6_1693382846315258624.png,1,1,324,297,0,448,416,-1,0.1612
4,Moon_2_1693278833039671552.png,Moon_6_1693382846315258624.png,2,0,772,690,1,626,585,0,0.1612
5,Moon_8_1693502033485718272.png,Moon_9_1692601845148701696.png,0,0,882,182,1,571,370,1,0.2249
5,Moon_8_1693502033485718272.png,Moon_9_1692601845148701696.png,1,0,160,544,0,283,438,0,0.2249
5,Moon_8_1693502033485718272.png,Moon_9_1692601845148701696.png,2,0,448,452,0,214,690,0,0.2249
6,Moon_2_1693278877120846080.png,Moon_8_1693502102416652288.png,0,1,370,713,0,109,690,0,0.0617
6,Moon_2_1693278877120846080.png,Moon_8_1693502102416652288.png,1,1,594,708,0,365,278,-1,0.0617
6,Moon_2_1693278877120846080.png,Moon_8_1693502102416652288.png,2,0,416,841,1,370,260,-1,0.0617
7,Moon_3_1693290402532170240.png,Moon_7_1693385366293742080.png,0,1,114,699,0,164,498,1,0.2720
7,Moon_3_1693290402532170240.png,Moon_7_1693385366293742080.png,1,1,420,626,0,772,288,-1,0.2720
7,Moon_3_1693290402532170240.png,Moon_7_1693385366293742080.png,2,0,653,580,0,173,164,-1,0.2720
8,Moon_4_1693297616965945088.png,Moon_8_1693502089056608256.png,0,1,512,397,0,365,118,-1,0.4197
8,Moon_4_1693297616965945088.png,Moon_8_1693502089056608256.png,1,1,905,539,1,630,164,-1,0.4197
8,Moon_4_1693297616965945088.png,Moon_8_1693502089056608256.png,2,0,914,521,1,617,612,-1,0.4197
9,Moon_5_1693360367577675520.png,Moon_9_1692601985028796416.png,0,1,859,274,0,342,141,-1,0.0262
9,Moon_5_1693360367577675520.png,Moon_9_1692601985028796416.png,1,0,452,653,0,224,274,-1,0.0262
9,Moon_5_1693360367577675520.png,Moon_9_1692601985028796416.png,2,0,502,786,0,672,278,-1,0.0262
10,Moon_1_1693274791192570880.png,Moon_5_1693360285835941120.png,0,1,100,406,1,914,749,-1,0.4047
10,Moon_1_1693274791192570880.png,Moon_5_1693360285835941120.png,1,0,429,882,0,704,388,1,0.4047
10,Moon_1_1693274791192570880.png,Moon_5_1693360285835941120.png,2,0,137,854,0,466,128,-1,0.4047
11,Moon_7_1693385286249737984.png,Moon_8_1693502060171709440.png,0,1,768,347,1,297,754,1,0.1896
11,Moon_7_1693385286249737984.png,Moon_8_1693502060171709440.png,1,0,612,196,1,525,288,1,0.1896
11,Moon_7_1693385286249737984.png,Moon_8_1693502060171709440.png,2,1,224,324,0,160,841,1,0.1896
12,Moon_5_1693360330075011584.png,Moon_8_1693502153653730560.png,0,0,169,388,1,365,905,0,0.1039
12,Moon_5_1693360330075011584.png,Moon_8_1693502153653730560.png,1,1,918,205,0,649,365,1,0.1039
