pair_idx,imageA_name,imageB_name,annotation_idx,pt1_img,pt1_x,pt1_y,pt2_img,pt2_x,pt2_y,label,temperature
0,CE4_GRAS_PCAMR-C-004_SCI_N_20210812042223_20210812042223_0204_B.png,CE4_GRAS_PCAMR-C-007_SCI_N_20211229080911_20211229080911_0224_B.png,0,0,1585,1519,1,1722,1311,1,0.1739
0,CE4_GRAS_PCAMR-C-004_SCI_N_20210812042223_20210812042223_0204_B.png,CE4_GRAS_PCAMR-C-007_SCI_N_20211229080911_20211229080911_0224_B.png,1,0,1911,725,0,903,1496,0,0.1739
0,CE4_GRAS_PCAMR-C-004_SCI_N_20210812042223_20210812042223_0204_B.png,CE4_GRAS_PCAMR-C-007_SCI_N_20211229080911_20211229080911_0224_B.png,2,1,546,1249,0,934,447,0,0.1739
1,CE4_GRAS_PCAML-C-004_SCI_N_20211230065656_20211230065656_0225_B.png,CE4_GRAS_PCAMR-C-005_SCI_N_20230615033819_20230615033819_0296_B.png,0,1,451,632,1,273,1465,1,0.1744
1,CE4_GRAS_PCAML-C-004_SCI_N_20211230065656_20211230065656_0225_B.png,CE4_GRAS_PCAMR-C-005_SCI_N_20230615033819_20230615033819_0296_B.png,1,1,745,432,1,1564,270,0,0.1744
1,CE4_GRAS_PCAML-C-004_SCI_N_20211230065656_20211230065656_0225_B.png,CE4_GRAS_PCAMR-C-005_SCI_N_20230615033819_20230615033819_0296_B.png,2,0,913,1010,1,945,1504,-1,0.1744
2,CE4_GRAS_PCAML-C-002_SCI_N_20210208064537_20210208064537_0173_B.png,CE4_GRAS_PCAMR-C-055_SCI_N_20190228100418_20190228100418_0011_B.png,0,0,1060,794,0,535,1218,-1,0.1028
2,CE4_GRAS_PCAML-C-002_SCI_N_20210208064537_20210208064537_0173_B.png,CE4_GRAS_PCAMR-C-055_SCI_N_20190228100418_20190228100418_0011_B.png,1,0,1501,1334,1,1701,246,0,0.1028
2,CE4_GRAS_PCAML-C-002_SCI_N_20210208064537_20210208064537_0173_B.png,CE4_GRAS_PCAMR-C-055_SCI_N_20190228100418_20190228100418_0011_B.png,2,1,1680,1242,0,1375,447,-1,0.1028
3,CE4_GRAS_PCAML-C-035_SCI_N_20230615044250_20230615044250_0296_B.png,CE4_GRAS_PCAMR-C-015_SCI_N_20221127091416_20221127091416_0269_B.png,0,1,630,1049,1,903,810,-1,0.2400
3,CE4_GRAS_PCAML-C-035_SCI_N_20230615044250_20230615044250_0296_B.png,CE4_GRAS_PCAMR-C-015_SCI_N_20221127091416_20221127091416_0269_B.png,1,1,1680,894,1,252,339,0,0.2400
3,CE4_GRAS_PCAML-C-035_SCI_N_20230615044250_20230615044250_0296_B.png,CE4_GRAS_PCAMR-C-015_SCI_N_20221127091416_20221127091416_0269_B.png,2,1,1375,663,1,2047,1357,1,0.2400
4,CE4_GRAS_PCAML-C-000_SCI_N_20220107130916_20220107130916_0227_B.png,CE4_GRAS_PCAML-C-015_SCI_N_20211010060609_20211010060609_0213_B.png,0,0,1984,763,0,1512,1141,1,0.1612
4,CE4_GRAS_PCAML-C-000_SCI_N_20220107130916_20220107130916_0227_B.png,CE4_GRAS_PCAML-C-015_SCI_N_20211010060609_20211010060609_0213_B.png,1,1,1365,424,0,409,918,0,0.1612
4,CE4_GRAS_PCAML-C-000_SCI_N_20220107130916_20220107130916_0227_B.png,CE4_GRAS_PCAML-C-015_SCI_N_20211010060609_20211010060609_0213_B.png,2,0,756,1164,1,840,1419,1,0.1612
5,CE4_GRAS_PCAML-C-002_SCI_N_20200131013425_20200131013425_0116_B.png,CE4_GRAS_PCAMR-C-002_SCI_N_20190925032103_20190925032103_0076_B.png,0,0,1543,308,0,798,732,1,0.2249
5,CE4_GRAS_PCAML-C-002_SCI_N_20200131013425_20200131013425_0116_B.png,CE4_GRAS_PCAMR-C-002_SCI_N_20190925032103_20190925032103_0076_B.png,1,0,1764,825,0,714,1211,0,0.2249
5,CE4_GRAS_PCAML-C-002_SCI_N_20200131013425_20200131013425_0116_B.png,CE4_GRAS_PCAMR-C-002_SCI_N_20190925032103_20190925032103_0076_B.png,2,0,1837,563,0,1942,1311,-1,0.2249
6,CE4_GRAS_PCAML-C-042_SCI_N_20190925044057_20190925044057_0076_B.png,CE4_GRAS_PCAMR-C-005_SCI_N_20220922061802_20220922061802_0258_B.png,0,1,441,964,0,703,1519,0,0.0617
6,CE4_GRAS_PCAML-C-042_SCI_N_20190925044057_20190925044057_0076_B.png,CE4_GRAS_PCAMR-C-005_SCI_N_20220922061802_20220922061802_0258_B.png,1,1,1543,1018,0,1816,678,0,0.0617
6,CE4_GRAS_PCAML-C-042_SCI_N_20190925044057_20190925044057_0076_B.png,CE4_GRAS_PCAMR-C-005_SCI_N_20220922061802_20220922061802_0258_B.png,2,1,1879,1380,1,1533,486,-1,0.0617
7,CE4_GRAS_PCAML-C-002_SCI_N_20190729012137_20190729012137_0050_B.png,CE4_GRAS_PCAML-C-046_SCI_N_20230615050342_20230615050342_0296_B.png,0,1,567,1203,1,2100,933,0,0.2720
7,CE4_GRAS_PCAML-C-002_SCI_N_20190729012137_20190729012137_0050_B.png,CE4_GRAS_PCAML-C-046_SCI_N_20230615050342_20230615050342_0296_B.png,1,1,903,1049,0,1050,694,1,0.2720
7,CE4_GRAS_PCAML-C-002_SCI_N_20190729012137_20190729012137_0050_B.png,CE4_GRAS_PCAML-C-046_SCI_N_20230615050342_20230615050342_0296_B.png,2,0,1386,933,0,1228,347,0,0.2720
8,CE4_GRAS_PCAML-C-002_SCI_N_20211010054326_20211010054326_0213_B.png,CE4_GRAS_PCAMR-C-035_SCI_N_20230417060629_20230417060629_0288_B.png,0,1,798,632,1,1260,185,0,0.4197
8,CE4_GRAS_PCAML-C-002_SCI_N_20211010054326_20211010054326_0213_B.png,CE4_GRAS_PCAMR-C-035_SCI_N_20230417060629_20230417060629_0288_B.png,1,1,913,902,1,892,270,0,0.4197
8,CE4_GRAS_PCAML-C-002_SCI_N_20211010054326_20211010054326_0213_B.png,CE4_GRAS_PCAMR-C-035_SCI_N_20230417060629_20230417060629_0288_B.png,2,1,273,941,1,493,1211,-1,0.4197
9,CE4_GRAS_PCAML-C-001_SCI_N_20200329050356_20200329050356_0124_B.png,CE4_GRAS_PCAML-C-005_SCI_N_20201012043919_20201012043919_0148_B.png,0,1,1827,331,1,882,1481,-1,0.0262
9,CE4_GRAS_PCAML-C-001_SCI_N_20200329050356_20200329050356_0124_B.png,CE4_GRAS_PCAML-C-005_SCI_N_20201012043919_20201012043919_0148_B.png,1,1,273,1226,1,1312,879,1,0.0262
9,CE4_GRAS_PCAML-C-001_SCI_N_20200329050356_20200329050356_0124_B.png,CE4_GRAS_PCAML-C-005_SCI_N_20201012043919_20201012043919_0148_B.png,2,1,1218,1319,1,1690,879,1,0.0262
10,CE4_GRAS_PCAML-C-000_SCI_N_20200101040020_20200101040020_0111_B.png,CE4_GRAS_PCAML-C-040_SCI_N_20190925042843_20190925042843_0076_B.png,0,1,997,671,1,598,1288,0,0.4047
10,CE4_GRAS_PCAML-C-000_SCI_N_20200101040020_20200101040020_0111_B.png,CE4_GRAS_PCAML-C-040_SCI_N_20190925042843_20190925042843_0076_B.png,1,0,945,1496,0,735,948,1,0.4047
10,CE4_GRAS_PCAML-C-000_SCI_N_20200101040020_20200101040020_0111_B.png,CE4_GRAS_PCAML-C-040_SCI_N_20190925042843_20190925042843_0076_B.png,2,0,1396,1450,0,724,208,1,0.4047
11,CE4_GRAS_PCAML-C-008_SCI_N_20230417051421_20230417051421_0288_B.png,CE4_GRAS_PCAMR-C-018_SCI_N_20221127091921_20221127091921_0269_B.png,0,0,420,648,0,1638,1041,1,0.1896
11,CE4_GRAS_PCAML-C-008_SCI_N_20230417051421_20230417051421_0288_B.png,CE4_GRAS_PCAMR-C-018_SCI_N_20221127091921_20221127091921_0269_B.png,1,0,1921,285,0,1008,709,0,0.1896
11,CE4_GRAS_PCAML-C-008_SCI_N_20230417051421_20230417051421_0288_B.png,CE4_GRAS_PCAMR-C-018_SCI_N_20221127091921_20221127091921_0269_B.png,2,1,399,486,0,1879,1342,-1,0.1896
12,CE4_GRAS_PCAML-C-011_SCI_N_20200227114032_20200227114032_0121_B.png,CE4_GRAS_PCAML-C-016_SCI_N_20221127091601_20221127091601_0269_B.png,0,0,1375,594,1,262,1473,0,0.1039
12,CE4_GRAS_PCAML-C-011_SCI_N_20200227114032_20200227114032_0121_B.png,CE4_GRAS_PCAML-C-016_SCI_N_20221127091601_20221127091601_0269_B.png,1,1,567,331,1,1995,802,1,0.1039
12,CE4_GRAS_PCAML-C-011_SCI_N_20200227114032_20200227114032_0121_B.png,CE4_GRAS_PCAML-C-016_SCI_N_20221127091601_20221127091601_0269_B.png,2,0,924,1242,0,1249,987,0,0.1039
13,CE4_GRAS_PCAMR-C-004_SCI_N_20200428093514_20200428093514_0128_B.png,CE4_GRAS_PCAMR-C-046_SCI_N_20230417062637_20230417062637_0288_B.png,0,1,1585,1188,0,598,331,0,0.1270
13,CE4_GRAS_PCAMR-C-004_SCI_N_20200428093514_20200428093514_0128_B.png,CE4_GRAS_PCAMR-C-046_SCI_N_20230417062637_20230417062637_0288_B.png,1,1,1480,640,0,777,1018,0,0.1270
13,CE4_GRAS_PCAMR-C-004_SCI_N_20200428093514_20200428093514_0128_B.png,CE4_GRAS_PCAMR-C-046_SCI_N_20230417062637_20230417062637_0288_B.png,2,1,1837,1504,0,409,1481,-1,0.1270
14,CE4_GRAS_PCAML-C-001_SCI_N_20200131030055_20200131030055_0117_B.png,CE4_GRAS_PCAMR-C-053_SCI_N_20230615051349_20230615051349_0296_B.png,0,0,588,763,1,976,1041,0,0.1458
14,CE4_GRAS_PCAML-C-001_SCI_N_20200131030055_20200131030055_0117_B.png,CE4_GRAS_PCAMR-C-053_SCI_N_20230615051349_20230615051349_0296_B.png,1,1,1323,1303,0,409,1195,0,0.1458
14,CE4_GRAS_PCAML-C-001_SCI_N_20200131030055_20200131030055_0117_B.png,CE4_GRAS_PCAMR-C-053_SCI_N_20230615051349_20230615051349_0296_B.png,2,0,997,293,1,525,1265,0,0.1458
15,CE4_GRAS_PCAMR-C-007_SCI_N_20230417051152_20230417051152_0288_B.png,CE4_GRAS_PCAMR-C-010_SCI_N_20190429145458_20190429145458_0033_B.png,0,1,252,1095,0,1270,347,-1,0.0282
15,CE4_GRAS_PCAMR-C-007_SCI_N_20230417051152_20230417051152_0288_B.png,CE4_GRAS_PCAMR-C-010_SCI_N_20190429145458_20190429145458_0033_B.png,1,1,472,1550,0,651,362,-1,0.0282
15,CE4_GRAS_PCAMR-C-007_SCI_N_20230417051152_20230417051152_0288_B.png,CE4_GRAS_PCAMR-C-010_SCI_N_20190429145458_20190429145458_0033_B.png,2,0,1575,979,1,325,177,-1,0.0282
16,CE4_GRAS_PCAML-C-002_SCI_N_20200922125529_20200922125529_0147_B.png,CE4_GRAS_PCAMR-C-031_SCI_N_20230417055957_20230417055957_0288_B.png,0,0,2005,270,1,1858,486,-1,0.0614
